team_name,players,status,created_at,updated_at,user_id,chat_id
Залупачёсы,6,confirmed,2025-09-19 21:36:49.840348,2025-09-19 21:36:49.840385,139577348,139577348
Васьки,10,confirmed,2025-09-19 22:02:34.810628,2025-09-19 22:03:26.337041,287202508,287202508
